Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
IRD,IRS,,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,murex_trade_ird_irs,version_number,StringType,TRUE,,,,,Y,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,murex_trade_ird_irs,trade_origin_id,StringType,TRUE,,,,,N,35
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeDate,murex_trade_ird_irs,trade_date,DateType,FALSE,,,TRADETIME,,Y,35
IRD,IRS,,/MxML/trades/trade/tradeInputConditions/computerTime,murex_trade_ird_irs,trade_time,TimestampType,FALSE,,,,,Y,
IRD,IRS,,/MxML/trades/trade/tradeStatus/physicalStatus,murex_trade_ird_irs,trade_status,StringType,TRUE,,,STATUS,,N,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateLabel,murex_trade_ird_irs,instrument_name,StringType,TRUE,,,INSTRUMEN,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateNumber,murex_trade_ird_irs,instrument_number,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateType,murex_trade_ird_irs,instrument_type,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/businessObjectId/@mefClassInstanceType,murex_trade_ird_irs,instrument_class,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,murex_trade_ird_irs,trade_typology_id,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,murex_trade_ird_irs,trade_family,StringType,TRUE,,,,,N,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,murex_trade_ird_irs,trade_group,StringType,TRUE,,,,,N,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,murex_trade_ird_irs,trade_type,StringType,TRUE,,,,,N,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/typology,murex_trade_ird_irs,typology,StringType,TRUE,,,TYPOLOGY,,Y,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,murex_trade_ird_irs,main_typology_path,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/tradeHeader/tradeCategory/usage,murex_trade_ird_irs,usage,StringType,TRUE,,,,,,
IRD,IRS,,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,murex_trade_ird_irs,portfolio_label,StringType,TRUE,,,PORTFOLIO,,,
IRD,IRS,,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/@id",murex_trade_ird_irs,counter_party_id,StringType,TRUE,,,,,,
IRD,IRS,,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/partyName",murex_trade_ird_irs,counter_party_name,StringType,TRUE,,,CP,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/payReceive,murex_trade_ird_irs,leg0_pay_receive,StringType,TRUE,,,L0PR,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/payoutType,murex_trade_ird_irs,leg0_payout_type,StringType,TRUE,,,LEG0FV,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/floatingRateStreamTemplate/index/indexLabel,murex_trade_ird_irs,leg0_index_label,StringType,TRUE,,,LEG0IND,,,
IRD,IRS,,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,murex_trade_ird_irs,leg0_rate_convention_label,StringType,TRUE,,,LEG0DC,,,
